ID #,Subj,#,Sec,Title,Dates,Days,Time,Size:,Enrolled,Crds,Status,Instructor,Delivery Method,Book Cost,Loc,LASC/WI,18online,Tuition -resident,Tuition unit,Tuition -nonresident,Course level,Approximate Course Fees,timestamp,year_term
258,ACCT,230,1,Principles of Accounting I,05/21-06/17,M T W Th F,8:20am-10:30am,25,0,3.0,Cancelled,n/a,,$0.00,,,false,$667.29,course,"$1,334.58",Undergraduate,$113.52,1513104815.362155,20151
260,ACCT,230,2,Principles of Accounting I,05/21-06/24,n/a,Arranged,25,19,3.0,Open,"Stone,Mary",Mostly Online,$0.00,ON LINE,,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104815.777792,20151
261,ACCT,231,1,Principles of Accounting II,07/02-08/05,n/a,Arranged,25,18,3.0,Open,"Mollberg,Kim",Mostly Online,$0.00,ON LINE,,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104815.976573,20151
262,ACCT,304,1,Legal Environment of Business,05/21-06/10,M T W Th F,10:45am-2:00pm,25,0,3.0,Cancelled,n/a,,$0.00,,,false,$667.29,course,"$1,334.58",Undergraduate,$131.52,1513104816.18042,20151
263,ACCT,306,1,Contracts and Business Entities,05/21-06/10,M T W Th F,7:30am-10:30am,25,12,3.0,Open,"Violet,William",,$0.00,Center for Business 0202,,false,$667.29,course,"$1,334.58",Undergraduate,$131.52,1513104816.396967,20151
259,ACCT,469,1,Internship,05/21-08/05,n/a,Arranged,10,7,Vari.,Open,"Johnson,Lori",,$0.00,Arranged ARR,,false,$222.43,credit,$444.86,Undergraduate,$43.84,1513104815.572015,20151
170,AMCS,233,1,Education and Multicultural America,07/02-08/05,n/a,Arranged,20,17,3.0,Open,"Arauza,Yolanda",Completely Online-Asynchronous,$0.00,ON LINE,"7,WI",false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104798.881296,20151
171,AMCS,233,2,Education and Multicultural America,07/02-08/05,n/a,Arranged,20,16,3.0,Open,"Arauza,Yolanda",Completely Online-Asynchronous,$0.00,ON LINE,"7,WI",false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104799.091418,20151
439,AMCS,233,3,Education and Multicultural America,07/02-07/29,n/a,Arranged,20,13,3.0,Open,"Arauza,Yolanda",Completely Online-Asynchronous,$0.00,ON LINE,"7,WI",false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104849.572572,20151
169,AMCS,315,1,African American Images in Film,05/21-06/10,M T W Th,6:00pm-9:30pm,15,0,3.0,Cancelled,n/a,,$0.00,,6,false,$667.29,course,"$1,334.58",Undergraduate,$113.52,1513104798.661877,20151
59,ANTH,110,1,Introduction to Cultural Anthropology,05/21-06/17,n/a,Arranged,25,16,3.0,Open,"Gooding,Erik",Completely Online-Asynchronous,$0.00,ON LINE,7,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104777.058349,20151
68,ANTH,110,2,Introduction to Cultural Anthropology,07/02-07/29,n/a,Arranged,25,20,3.0,Open,"Roberts,Bruce",Completely Online-Asynchronous,$0.00,ON LINE,7,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104778.727931,20151
69,ANTH,306,1,Medical Anthropology,07/02-07/29,n/a,Arranged,25,10,3.0,Open,"Roberts,Bruce",Completely Online-Asynchronous,$0.00,ON LINE,8,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104778.929843,20151
62,ANTH,311,1,American Indians and the Environment,05/21-06/17,n/a,Arranged,25,22,3.0,Open,"Gooding,Erik",Completely Online-Asynchronous,$0.00,ON LINE,10,false,$667.29,course,"$1,334.58",Undergraduate,$166.29,1513104777.683797,20151
66,ANTH,390,1,Topics in Anthropology: Meskwaki Field School,05/29-06/05,n/a,Arranged,10,6,3.0,Open,"Gooding,Erik",,$0.00,Arranged ARR,,false,$667.29,course,"$1,334.58",Undergraduate,$113.52,1513104778.330729,20151
107,ANTH,450,1,Field Work in Anthropology,05/27-06/2705/27-06/27,M T W Th F M T W Th F,8:00am-5:00pm 8:00am-5:00pm,8,9,6.0,Full,"n/a Joos,Jayme Dalan,Rinita",,$0.00,King Hall 0120King Hall 0216,,false,"$1,334.58",course,"$2,669.16",Undergraduate,$227.04,1513104786.579242,20151
409,ART,101,1,Basic Drawing I,06/12-08/01,M T Th,6:00pm-8:05pm,15,0,4.0,Cancelled,n/a,,$0.00,,,false,$889.72,course,"$1,779.44",Undergraduate,$171.36,1513104844.039668,20151
394,ART,125,1,Foundation Design,05/21-06/24,M T W Th,2:15pm-4:35pm,18,0,4.0,Cancelled,n/a,,$0.00,,,false,$889.72,course,"$1,779.44",Undergraduate,$211.36,1513104841.777306,20151
387,ART,350,1,Methods and Materials: Art for the Elementary Classroom,05/21-06/10,M T W Th F,10:45am-2:00pm,20,19,3.0,Open,"Bachmeier,Bradley",,$0.00,King Hall 0305,,false,$667.29,course,"$1,334.58",Undergraduate,$143.52,1513104840.338682,20151
